formulaRank	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#all classifications	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	mappingFeatureId	overallFeatureQuality
1	C11H16N2O8	[M + H]+	C11H17N2O8+	Amino acids and Peptides	0.798	Amino acid glycosides	0.898	Cyanogenic glycosides	0.902	Organic oxygen compounds	0.999	Organooxygen compounds	0.993	Carbohydrates and carbohydrate conjugates	0.670			Carbohydrates and carbohydrate conjugates	0.670	Organic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Nitriles; Acetals; Secondary alcohols; Carbonyl compounds; Oxanes; Fatty Acyls; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic cyanides; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	305.100	218	3.630	731532581456417510	731532502536391515	731532502536391515_UNKNOWN_M305T356_POS	
2	C12H20N2O3S2	[M + H]+	C12H21N2O3S2+	Fatty acids	0.912	Fatty amides	0.911	Primary amides	0.434	Organoheterocyclic compounds	0.485	Dithiolanes	0.901	Lipoamides	0.904			Lipoamides	0.904	Organic compounds; Organosulfur compounds; Lipids and lipid-like molecules; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Dithiolanes; Carboxylic acid derivatives; Lipoamides; Secondary carboxylic acid amides; Carbonyl compounds; Organic disulfides; 1,2-dithiolanes; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	305.100	218	3.630	731532581456417511	731532502536391515	731532502536391515_UNKNOWN_M305T356_POS	
3	C11H17ClN4O4	[M + H]+	C11H18ClN4O4+	Carbohydrates	0.380	Nucleosides	0.251	Purine nucleosides	0.129	Organoheterocyclic compounds	0.977	Azoles	0.919					Azoles	0.919	Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Azoles; Alkyl chlorides; Carboxylic acid derivatives; Organochlorides; Carbonyl compounds; Alkyl halides; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	305.100	218	3.630	731532581456417512	731532502536391515	731532502536391515_UNKNOWN_M305T356_POS	
4	C12H18N4O3	[M + K]+	C12H18KN4O3+	Alkaloids	0.367	Small peptides	0.253	Purine nucleosides	0.151	Organoheterocyclic compounds	0.988	Azoles	0.971					Azoles	0.971	Organic compounds; Organoheterocyclic compounds; Alcohols and polyols; Organonitrogen compounds; Organooxygen compounds; Azoles; Carbonyl compounds; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	305.100	218	3.630	731532581456417513	731532502536391515	731532502536391515_UNKNOWN_M305T356_POS	
1	C11H16N2O8	[M + H]+	C11H17N2O8+	Amino acids and Peptides	0.798	Amino acid glycosides	0.898	Cyanogenic glycosides	0.902	Organic oxygen compounds	0.999	Organooxygen compounds	0.993	Carbohydrates and carbohydrate conjugates	0.670			Carbohydrates and carbohydrate conjugates	0.670	Organic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Nitriles; Acetals; Secondary alcohols; Carbonyl compounds; Oxanes; Fatty Acyls; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic cyanides; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	305.100	218	3.630	731532601425499930	731532502595111779	731532502595111779_UNKNOWN_M305T212_POS	
2	C12H20N2O3S2	[M + H]+	C12H21N2O3S2+	Fatty acids	0.912	Fatty amides	0.911	Primary amides	0.434	Organoheterocyclic compounds	0.485	Dithiolanes	0.901	Lipoamides	0.904			Lipoamides	0.904	Organic compounds; Organosulfur compounds; Lipids and lipid-like molecules; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Dithiolanes; Carboxylic acid derivatives; Lipoamides; Secondary carboxylic acid amides; Carbonyl compounds; Organic disulfides; 1,2-dithiolanes; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	305.100	218	3.630	731532601425499931	731532502595111779	731532502595111779_UNKNOWN_M305T212_POS	
3	C11H17ClN4O4	[M + H]+	C11H18ClN4O4+	Carbohydrates	0.380	Nucleosides	0.251	Purine nucleosides	0.129	Organoheterocyclic compounds	0.977	Azoles	0.919					Azoles	0.919	Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Azoles; Alkyl chlorides; Carboxylic acid derivatives; Organochlorides; Carbonyl compounds; Alkyl halides; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	305.100	218	3.630	731532601425499932	731532502595111779	731532502595111779_UNKNOWN_M305T212_POS	
4	C12H18N4O3	[M + K]+	C12H18KN4O3+	Alkaloids	0.367	Small peptides	0.253	Purine nucleosides	0.151	Organoheterocyclic compounds	0.988	Azoles	0.971					Azoles	0.971	Organic compounds; Organoheterocyclic compounds; Alcohols and polyols; Organonitrogen compounds; Organooxygen compounds; Azoles; Carbonyl compounds; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	305.100	218	3.630	731532601425499933	731532502595111779	731532502595111779_UNKNOWN_M305T212_POS	
1	C11H16N2O8	[M + H]+	C11H17N2O8+	Amino acids and Peptides	0.798	Amino acid glycosides	0.898	Cyanogenic glycosides	0.902	Organic oxygen compounds	0.999	Organooxygen compounds	0.993	Carbohydrates and carbohydrate conjugates	0.670			Carbohydrates and carbohydrate conjugates	0.670	Organic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Nitriles; Acetals; Secondary alcohols; Carbonyl compounds; Oxanes; Fatty Acyls; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic cyanides; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	305.100	218	3.630	731532602998364052	731532502653832043	731532502653832043_UNKNOWN_M305T167_POS	
2	C12H20N2O3S2	[M + H]+	C12H21N2O3S2+	Fatty acids	0.912	Fatty amides	0.911	Primary amides	0.434	Organoheterocyclic compounds	0.485	Dithiolanes	0.901	Lipoamides	0.904			Lipoamides	0.904	Organic compounds; Organosulfur compounds; Lipids and lipid-like molecules; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Dithiolanes; Carboxylic acid derivatives; Lipoamides; Secondary carboxylic acid amides; Carbonyl compounds; Organic disulfides; 1,2-dithiolanes; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	305.100	218	3.630	731532602998364053	731532502653832043	731532502653832043_UNKNOWN_M305T167_POS	
3	C11H17ClN4O4	[M + H]+	C11H18ClN4O4+	Carbohydrates	0.380	Nucleosides	0.251	Purine nucleosides	0.129	Organoheterocyclic compounds	0.977	Azoles	0.919					Azoles	0.919	Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Azoles; Alkyl chlorides; Carboxylic acid derivatives; Organochlorides; Carbonyl compounds; Alkyl halides; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	305.100	218	3.630	731532602998364054	731532502653832043	731532502653832043_UNKNOWN_M305T167_POS	
4	C12H18N4O3	[M + K]+	C12H18KN4O3+	Alkaloids	0.367	Small peptides	0.253	Purine nucleosides	0.151	Organoheterocyclic compounds	0.988	Azoles	0.971					Azoles	0.971	Organic compounds; Organoheterocyclic compounds; Alcohols and polyols; Organonitrogen compounds; Organooxygen compounds; Azoles; Carbonyl compounds; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	305.100	218	3.630	731532602998364055	731532502653832043	731532502653832043_UNKNOWN_M305T167_POS	
1	C46H80NO8P	[M + H]+	C46H81NO8P+	Fatty acids	0.999	Glycerophospholipids	1.000	Glycerophosphocholines	0.998	Lipids and lipid-like molecules	0.989	Glycerophospholipids	0.999	Glycerophosphocholines	0.996	Phosphatidylcholines	0.990	Phosphatidylcholines	0.990	Organic compounds; Lipids and lipid-like molecules; Glycerophospholipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty acid esters; Dicarboxylic acids and derivatives; Organic phosphoric acids and derivatives; Phosphate esters; Quaternary ammonium salts; Cholines; Carboxylic acid derivatives; Carboxylic acid esters; Phosphocholines; Phosphatidylcholines; Carbonyl compounds; Glycerophosphocholines; Amines; Alkyl phosphates; Dialkyl phosphates; Organic cations; Organic salts; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Tetraalkylammonium salts; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	806.568	222	3.693	731532554965192432	731532506239962459	731532506239962459_UNKNOWN_M807T245_POS	
1	C46H80NO8P	[M + H]+	C46H81NO8P+	Fatty acids	0.999	Glycerophospholipids	1.000	Glycerophosphocholines	0.998	Lipids and lipid-like molecules	0.989	Glycerophospholipids	0.999	Glycerophosphocholines	0.996	Phosphatidylcholines	0.990	Phosphatidylcholines	0.990	Organic compounds; Lipids and lipid-like molecules; Glycerophospholipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty acid esters; Dicarboxylic acids and derivatives; Organic phosphoric acids and derivatives; Phosphate esters; Quaternary ammonium salts; Cholines; Carboxylic acid derivatives; Carboxylic acid esters; Phosphocholines; Phosphatidylcholines; Carbonyl compounds; Glycerophosphocholines; Amines; Alkyl phosphates; Dialkyl phosphates; Organic cations; Organic salts; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Tetraalkylammonium salts; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	806.568	222	3.693	731532572338000167	731532506210602327	731532506210602327_UNKNOWN_M807T222_1_POS	
1	C44H80NO8P	[M + H]+	C44H81NO8P+	Fatty acids	0.999	Glycerophospholipids	1.000	Glycerophosphocholines	0.998	Lipids and lipid-like molecules	0.989	Glycerophospholipids	0.999	Glycerophosphocholines	0.996	Phosphatidylcholines	0.989	Phosphatidylcholines	0.989	Organic compounds; Lipids and lipid-like molecules; Glycerophospholipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty acid esters; Dicarboxylic acids and derivatives; Organic phosphoric acids and derivatives; Phosphate esters; Quaternary ammonium salts; Cholines; Carboxylic acid derivatives; Carboxylic acid esters; Phosphocholines; Phosphatidylcholines; Carbonyl compounds; Glycerophosphocholines; Amines; Alkyl phosphates; Dialkyl phosphates; Organic cations; Organic salts; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Tetraalkylammonium salts; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	782.568	224	3.729	731532555548200707	731532505770200351	731532505770200351_UNKNOWN_M783T301_POS	
1	C44H80NO8P	[M + H]+	C44H81NO8P+	Fatty acids	0.999	Glycerophospholipids	1.000	Glycerophosphocholines	0.998	Lipids and lipid-like molecules	0.989	Glycerophospholipids	0.999	Glycerophosphocholines	0.996	Phosphatidylcholines	0.989	Phosphatidylcholines	0.989	Organic compounds; Lipids and lipid-like molecules; Glycerophospholipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty acid esters; Dicarboxylic acids and derivatives; Organic phosphoric acids and derivatives; Phosphate esters; Quaternary ammonium salts; Cholines; Carboxylic acid derivatives; Carboxylic acid esters; Phosphocholines; Phosphatidylcholines; Carbonyl compounds; Glycerophosphocholines; Amines; Alkyl phosphates; Dialkyl phosphates; Organic cations; Organic salts; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Tetraalkylammonium salts; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	782.568	224	3.729	731532556500307750	731532505799560483	731532505799560483_UNKNOWN_M783T224_1_POS	
1	C18H18Cl5N3O2	[M + H]+	C18H19Cl5N3O2+	Alkaloids	0.335	Oligopeptides	0.300	Pyrrole alkaloids	0.224	Benzenoids	0.896	Benzene and substituted derivatives	0.573	Halobenzenes	0.469	Chlorobenzenes	0.471	Dichlorobenzenes	0.581	Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Aryl chlorides; Carboxylic acid derivatives; Organochlorides; Secondary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Dichlorobenzenes; Aryl halides; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	483.991	225	3.751	731532579963245183	731532503882763283	731532503882763283_UNKNOWN_M484T174_2_POS	
2	C12H13N5O10S3	[M + H]+	C12H14N5O10S3+	Amino acids and Peptides	0.975	β-lactams	0.313	Cyclamides	0.348	Organic acids and derivatives	0.987	Carboxylic acids and derivatives	0.789	Amino acids, peptides, and analogues	0.507	Amino acids and derivatives	0.502	Amino acids and derivatives	0.502	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Amino acids, peptides, and analogues; Thiazoles; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Azoles; Carboxylic acid amides; Carboxylic acid derivatives; Carboxylic acids; Secondary carboxylic acid amides; Carbonyl compounds; Amines; 2,4-disubstituted thiazoles; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	483.991	225	3.751	731532579963245182	731532503882763283	731532503882763283_UNKNOWN_M484T174_2_POS	
8	C13H17N5O5S5	[M + H]+	C13H18N5O5S5+	Amino acids and Peptides	0.987	Oligopeptides	0.974	Cyclamides	0.644	Organoheterocyclic compounds	0.951	Azoles	0.735	Thiazoles	0.623			Thiazoles	0.623	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Thiazoles; Lactams; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Azoles; Carboxylic acid amides; Carboxylic acid derivatives; Carbonyl compounds; Sulfenyl compounds; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	483.991	225	3.751	731532579963245189	731532503882763283	731532503882763283_UNKNOWN_M484T174_2_POS	
9	C19H13Cl4N5O2	[M + H]+	C19H14Cl4N5O2+	Alkaloids	0.756	Tryptophan alkaloids	0.230	Carboline alkaloids	0.039	Benzenoids	0.992	Benzene and substituted derivatives	0.821	Halobenzenes	0.759	Chlorobenzenes	0.751	Dichlorobenzenes	0.526	Organic compounds; Organoheterocyclic compounds; Halobenzenes; Pyridines and derivatives; Lactams; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Azoles; Carboxylic acid amides; Aryl chlorides; Carboxylic acid derivatives; Chlorobenzenes; Organochlorides; Benzene and substituted derivatives; Benzenoids; Dichlorobenzenes; Aryl halides; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	483.991	225	3.751	731532579963245190	731532503882763283	731532503882763283_UNKNOWN_M484T174_2_POS	
1	C43H79N2O8P	[M + H]+	C43H80N2O8P+	Fatty acids	1.000	Spingolipids	1.000	Phosphosphingolipids	0.997	Lipids and lipid-like molecules	0.985	Sphingolipids	0.959	Phosphosphingolipids	0.951			Phosphosphingolipids	0.951	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Sphingolipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Organic phosphoric acids and derivatives; Phosphate esters; Carboxylic acid amides; Quaternary ammonium salts; Cholines; Carboxylic acid derivatives; N-acyl amines; Phosphocholines; Phosphoethanolamines; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Amines; Phosphosphingolipids; Alkyl phosphates; Dialkyl phosphates; Organic salts; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Tetraalkylammonium salts; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	783.571	227	3.779	731532558765231928	731532505854086443	731532505854086443_UNKNOWN_M784T299_POS	
2	C40H80FN2O9P	[M + H]+	C40H81FN2O9P+	Fatty acids	0.999	Spingolipids	0.985	Phosphosphingolipids	0.698	Lipids and lipid-like molecules	0.928	Sphingolipids	0.614					Sphingolipids	0.614	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Sphingolipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Organic phosphoric acids and derivatives; Phosphate esters; Carboxylic acid amides; Quaternary ammonium salts; Cholines; Carboxylic acid derivatives; N-acyl amines; Phosphocholines; Organofluorides; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Amines; Alkyl phosphates; Dialkyl phosphates; Organic cations; Organic salts; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Tetraalkylammonium salts; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	783.571	227	3.779	731532558765231929	731532505854086443	731532505854086443_UNKNOWN_M784T299_POS	
1	C43H79N2O8P	[M + H]+	C43H80N2O8P+	Fatty acids	1.000	Spingolipids	1.000	Phosphosphingolipids	0.997	Lipids and lipid-like molecules	0.985	Sphingolipids	0.959	Phosphosphingolipids	0.951			Phosphosphingolipids	0.951	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Sphingolipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Organic phosphoric acids and derivatives; Phosphate esters; Carboxylic acid amides; Quaternary ammonium salts; Cholines; Carboxylic acid derivatives; N-acyl amines; Phosphocholines; Phosphoethanolamines; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Amines; Phosphosphingolipids; Alkyl phosphates; Dialkyl phosphates; Organic salts; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Tetraalkylammonium salts; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	783.571	227	3.779	731532559285325644	731532505824726311	731532505824726311_UNKNOWN_M784T223_POS	
2	C40H80FN2O9P	[M + H]+	C40H81FN2O9P+	Fatty acids	0.999	Spingolipids	0.985	Phosphosphingolipids	0.698	Lipids and lipid-like molecules	0.928	Sphingolipids	0.614					Sphingolipids	0.614	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Sphingolipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Organic phosphoric acids and derivatives; Phosphate esters; Carboxylic acid amides; Quaternary ammonium salts; Cholines; Carboxylic acid derivatives; N-acyl amines; Phosphocholines; Organofluorides; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Amines; Alkyl phosphates; Dialkyl phosphates; Organic cations; Organic salts; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Tetraalkylammonium salts; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	783.571	227	3.779	731532559285325645	731532505824726311	731532505824726311_UNKNOWN_M784T223_POS	
1	C19H25Cl2N5O3	[M + H]+	C19H26Cl2N5O3+	Alkaloids	0.350	Oligopeptides	0.020	Pyrrole alkaloids	0.014	Benzenoids	0.990	Benzene and substituted derivatives	0.952	Halobenzenes	0.969	Chlorobenzenes	0.975	Dichlorobenzenes	0.957	Organic compounds; Organoheterocyclic compounds; Halobenzenes; Alkyl aryl ethers; Ethers; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Azoles; Aryl chlorides; Chlorobenzenes; Organochlorides; Benzene and substituted derivatives; Phenol ethers; Benzenoids; Amines; Tertiary amines; Dichlorobenzenes; Aryl halides; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Phenoxy compounds; Chemical entities	442.143	227	3.780	731532568227582129	731532503580773351	731532503580773351_UNKNOWN_M442T202_POS	
2	C25H19N3O5	[M + H]+	C25H20N3O5+	Alkaloids	0.459	Tryptophan alkaloids	0.166	Carbazole alkaloids	0.066	Benzenoids	0.998	Benzene and substituted derivatives	0.899					Benzene and substituted derivatives	0.899	Organic compounds; Organoheterocyclic compounds; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Carboxylic acid derivatives; Secondary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	442.143	227	3.780	731532568227582130	731532503580773351	731532503580773351_UNKNOWN_M442T202_POS	
3	C19H19N7O6	[M + H]+	C19H20N7O6+	Carbohydrates	0.546	Nucleosides	0.491	Purine nucleosides	0.446	Organic acids and derivatives	0.982	Carboxylic acids and derivatives	0.944	Amino acids, peptides, and analogues	0.585	Amino acids and derivatives	0.583	Amino acids and derivatives	0.583	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Nitrobenzenes; Pyrimidines and pyrimidine derivatives; Imidazoles; Benzoic acids and derivatives; Benzamides; Purines and purine derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Benzoyl derivatives; Organooxygen compounds; Amino acids and derivatives; Azoles; Carboxylic acid amides; Carboxylic acid derivatives; Organic nitro compounds; Diazines; Organic oxoazanium compounds; Secondary carboxylic acid amides; Imidazopyrimidines; Carbonyl compounds; Benzene and substituted derivatives; Substituted imidazoles; N-substituted imidazoles; Benzenoids; Amines; Organic 1,3-dipolar compounds; Allyl-type 1,3-dipolar organic compounds; Propargyl-type 1,3-dipolar organic compounds; Organic oxides; C-nitro compounds; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Nitroaromatic compounds; Organic nitrogen compounds; Chemical entities	442.143	227	3.780	731532568227582131	731532503580773351	731532503580773351_UNKNOWN_M442T202_POS	
4	C22H23N3O5S	[M + H]+	C22H24N3O5S+	Alkaloids	0.346	Anthranilic acid alkaloids	0.111	Dipeptides	0.018	Benzenoids	0.992	Benzene and substituted derivatives	0.915	Anilides	0.559			Anilides	0.559	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Benzoic acids and derivatives; Benzamides; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Anilides; Benzoyl derivatives; Organooxygen compounds; Carboxylic acid amides; Carboxylic acid derivatives; Secondary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	442.143	227	3.780	731532568227582132	731532503580773351	731532503580773351_UNKNOWN_M442T202_POS	
5	C24H24ClNO5	[M + H]+	C24H25ClNO5+	Polyketides	0.791	Chromanes	0.989	Azaphilones	0.988	Organoheterocyclic compounds	0.888	Azaphilones	0.732					Azaphilones	0.732	Organic compounds; Organoheterocyclic compounds; Halobenzenes; Pyridines and derivatives; Ketones; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Dihydropyridines; Enamines; Aryl chlorides; Chlorobenzenes; Monocarboxylic acids and derivatives; Carboxylic acids; Organochlorides; Carbonyl compounds; Hydropyridines; Benzene and substituted derivatives; Benzenoids; Amines; Aryl halides; Azaphilones; Cyclic ketones; Vinylogous amides; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Cyclohexenones; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	442.143	227	3.780	731532568227582134	731532503580773351	731532503580773351_UNKNOWN_M442T202_POS	
6	C27H20FNO4	[M + H]+	C27H21FNO4+	Alkaloids	0.670	Tryptophan alkaloids	0.215	Chalcones	0.044	Benzenoids	1.000	Phenol ethers	0.727					Phenol ethers	0.727	Organic compounds; Organoheterocyclic compounds; Halobenzenes; Ketones; Alkyl aryl ethers; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Aryl fluorides; Fluorobenzenes; Organofluorides; Benzene and substituted derivatives; Phenol ethers; Benzenoids; Aryl halides; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Phenoxy compounds; Chemical entities	442.143	227	3.780	731532568227582133	731532503580773351	731532503580773351_UNKNOWN_M442T202_POS	
7	C22H20FN3O6	[M + H]+	C22H21FN3O6+	Alkaloids	0.552	Anthranilic acid alkaloids	0.535	Acridone alkaloids	0.259	Benzenoids	0.997	Benzene and substituted derivatives	0.897	Anilides	0.611			Anilides	0.611	Organic compounds; Organoheterocyclic compounds; Halobenzenes; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Anilides; Organooxygen compounds; Carboxylic acid amides; Aryl fluorides; Carboxylic acid derivatives; Fluorobenzenes; Organofluorides; Secondary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Aryl halides; N-arylamides; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	442.143	227	3.780	731532568227582135	731532503580773351	731532503580773351_UNKNOWN_M442T202_POS	
